,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,avg_duration
767,2018-19,Home B,Financial Bid Opening,Goods,239.51612903225808
768,2018-19,Home B,Financial Evaluation,Goods,365.0
769,2018-19,Home B,Technical Bid Opening,Goods,365.0
770,2018-19,Home B,Technical Evaluation,Goods,90.0
771,2018-19,Home B,To be Opened,Goods,302.2972972972973
772,2018-19,Industries and Commerce Department,AOC,Goods,180.0
773,2018-19,Industries and Commerce Department,AOC,Services,155.0
774,2018-19,Industries and Commerce Department,AOC,Works,171.50943396226415
775,2018-19,Industries and Commerce Department,Bid Opening,Works,180.0
776,2018-19,Industries and Commerce Department,Financial Bid Opening,Goods,310.8333333333333
777,2018-19,Industries and Commerce Department,Financial Bid Opening,Services,200.0
778,2018-19,Industries and Commerce Department,Financial Bid Opening,Works,225.75
779,2018-19,Industries and Commerce Department,Financial Evaluation,Goods,272.5
780,2018-19,Industries and Commerce Department,Financial Evaluation,Services,180.0
781,2018-19,Industries and Commerce Department,Financial Evaluation,Works,170.52631578947367
782,2018-19,Industries and Commerce Department,Technical Bid Opening,Goods,180.0
783,2018-19,Industries and Commerce Department,Technical Bid Opening,Works,205.71428571428572
784,2018-19,Industries and Commerce Department,Technical Evaluation,Goods,221.11111111111111
785,2018-19,Industries and Commerce Department,Technical Evaluation,Services,241.66666666666666
786,2018-19,Industries and Commerce Department,Technical Evaluation,Works,191.42857142857142
787,2018-19,Industries and Commerce Department,To be Opened,Goods,245.0
788,2018-19,Industries and Commerce Department,To be Opened,Services,159.0
789,2018-19,Industries and Commerce Department,To be Opened,Works,153.3783783783784
790,2018-19,Information and Public Relations Department,Financial Bid Opening,Goods,90.0
791,2018-19,Information and Public Relations Department,To be Opened,Goods,90.0
792,2018-19,Irrigation Department,AOC,Works,196.55555555555554
793,2018-19,Irrigation Department,Technical Evaluation,Services,180.0
794,2018-19,Irrigation Department,Technical Evaluation,Works,180.0
795,2018-19,Karbi Anglong Autonomous Council,AOC,Works,180.69767441860466
796,2018-19,Karbi Anglong Autonomous Council,Financial Bid Opening,Works,180.0
797,2018-19,Karbi Anglong Autonomous Council,Technical Evaluation,Works,180.0
798,2018-19,Karbi Anglong Autonomous Council,To be Opened,Services,180.0
799,2018-19,Karbi Anglong Autonomous Council,To be Opened,Works,180.0
800,2018-19,Mines  and Minerals Department,AOC,Goods,180.0
801,2018-19,Mines  and Minerals Department,Financial Evaluation,Goods,180.0
802,2018-19,Mines  and Minerals Department,To be Opened,Goods,180.0
803,2018-19,National Health Mission,AOC,Goods,97.5
804,2018-19,National Health Mission,AOC,Services,165.0
805,2018-19,National Health Mission,AOC,Works,199.46808510638297
806,2018-19,National Health Mission,Financial Bid Opening,Goods,90.0
807,2018-19,National Health Mission,Financial Bid Opening,Works,195.0
808,2018-19,National Health Mission,Financial Evaluation,Goods,100.0
809,2018-19,National Health Mission,Financial Evaluation,Services,180.0
810,2018-19,National Health Mission,Financial Evaluation,Works,180.0
811,2018-19,National Health Mission,Technical Bid Opening,Goods,90.0
812,2018-19,National Health Mission,Technical Bid Opening,Works,225.0
813,2018-19,National Health Mission,Technical Evaluation,Goods,111.0
814,2018-19,National Health Mission,Technical Evaluation,Services,120.0
815,2018-19,National Health Mission,Technical Evaluation,Works,195.57692307692307
816,2018-19,National Health Mission,To be Opened,Goods,128.0
817,2018-19,National Health Mission,To be Opened,Services,120.0
818,2018-19,National Health Mission,To be Opened,Works,204.75
819,2018-19,National Register of Citizens Assam,Financial Bid Opening,Goods,90.0
820,2018-19,Office of the Chief Electoral Officer Assam,Financial Bid Opening,Goods,365.0
821,2018-19,Office of the Chief Electoral Officer Assam,Financial Evaluation,Services,180.0
822,2018-19,Office of the Chief Electoral Officer Assam,To be Opened,Services,180.0
823,2018-19,Pollution Control Board,AOC,Works,180.0
824,2018-19,Pollution Control Board,Technical Bid Opening,Works,180.0
825,2018-19,Pollution Control Board,To be Opened,Works,180.0
826,2018-19,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Services,90.0
827,2018-19,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,55.0
828,2018-19,Pr. Chief Conservator of Forest and Head of Forest Force,To be Opened,Works,105.0
829,2018-19,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,112.5
830,2018-19,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,52.5
831,2018-19,Principal Secretary- P and RD- Assam Secretariat,Evaluation,Services,73.33333333333333
832,2018-19,Principal Secretary- P and RD- Assam Secretariat,Financial Bid Opening,Works,180.0
833,2018-19,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Services,112.5
834,2018-19,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,180.0
835,2018-19,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Services,180.0
836,2018-19,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Goods,120.0
837,2018-19,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Services,120.0
838,2018-19,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Works,180.0
839,2018-19,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Goods,90.0
840,2018-19,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Services,90.0
841,2018-19,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Works,180.0
842,2018-19,Principal Secretary-Department of Information Technology,AOC,Goods,240.0
843,2018-19,Principal Secretary-Department of Information Technology,AOC,Services,180.0
844,2018-19,Principal Secretary-Department of Information Technology,AOC,Works,180.0
845,2018-19,Principal Secretary-Department of Information Technology,Financial Evaluation,Goods,241.66666666666666
846,2018-19,Principal Secretary-Department of Information Technology,Financial Evaluation,Services,180.0
847,2018-19,Principal Secretary-Department of Information Technology,Financial Evaluation,Works,180.0
848,2018-19,Principal Secretary-Department of Information Technology,Technical Evaluation,Goods,241.66666666666666
849,2018-19,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,180.0
850,2018-19,Principal Secretary-Department of Information Technology,Technical Evaluation,Works,150.0
851,2018-19,Principal Secretary-Department of Information Technology,To be Opened,Goods,202.5
852,2018-19,Principal Secretary-Department of Information Technology,To be Opened,Services,180.0
853,2018-19,Principal Secretary-Department of Information Technology,To be Opened,Works,180.0
854,2018-19,Printing and Stationery Department,To be Opened,Goods,255.0
855,2018-19,Public Health Engineering Department,AOC,Goods,159.8095238095238
856,2018-19,Public Health Engineering Department,AOC,Services,180.0
857,2018-19,Public Health Engineering Department,AOC,Works,80.0
858,2018-19,Public Health Engineering Department,Financial Evaluation,Works,30.0
859,2018-19,Public Health Engineering Department,Technical Bid Opening,Goods,90.0
860,2018-19,Public Health Engineering Department,Technical Bid Opening,Works,85.0
861,2018-19,Public Health Engineering Department,Technical Evaluation,Goods,180.0
862,2018-19,Public Health Engineering Department,Technical Evaluation,Services,180.0
863,2018-19,Public Health Engineering Department,Technical Evaluation,Works,80.0
864,2018-19,Public Health Engineering Department,To be Opened,Goods,133.57142857142858
865,2018-19,Public Health Engineering Department,To be Opened,Services,45.0
866,2018-19,Public Health Engineering Department,To be Opened,Works,67.2
867,2018-19,Public Works Building and NH Department,AOC,Works,180.0
868,2018-19,Public Works Building and NH Department,Financial Bid Opening,Works,180.0
869,2018-19,Public Works Building and NH Department,Financial Evaluation,Works,180.0
870,2018-19,Public Works Building and NH Department,Technical Evaluation,Works,180.0
871,2018-19,Public Works Building and NH Department,To be Opened,Works,180.0
872,2018-19,Public Works Roads Department,AOC,Services,90.0
873,2018-19,Public Works Roads Department,AOC,Works,156.86363636363637
874,2018-19,Public Works Roads Department,Financial Bid Opening,Goods,180.0
875,2018-19,Public Works Roads Department,Financial Bid Opening,Works,178.38509316770185
876,2018-19,Public Works Roads Department,Financial Evaluation,Works,119.34782608695652
877,2018-19,Public Works Roads Department,Technical Bid Opening,Works,154.0909090909091
878,2018-19,Public Works Roads Department,Technical Evaluation,Works,163.19347319347318
879,2018-19,Public Works Roads Department,To be Opened,Works,170.63819095477388
880,2018-19,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,90.0
881,2018-19,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Services,60.0
882,2018-19,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,365.0
883,2018-19,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Goods,90.0
884,2018-19,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Services,263.3333333333333
885,2018-19,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Works,90.0
886,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Goods,60.0
887,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Services,90.0
888,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,Financial Evaluation,Goods,60.0
889,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,Technical Bid Opening,Works,60.0
890,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,Technical Evaluation,Goods,60.0
891,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,Technical Evaluation,Works,90.0
892,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,To be Opened,Goods,90.0
893,2018-19,SECONDARY EDUCATION DEPARTMENT ASSAM,To be Opened,Works,110.0
894,2018-19,Secretariat Administration Department,AOC,Goods,180.0
895,2018-19,Secretariat Administration Department,Financial Bid Opening,Goods,180.0
896,2018-19,Secretariat Administration Department,Technical Evaluation,Services,45.0
897,2018-19,Secretariat Administration Department,To be Opened,Services,45.0
898,2018-19,Skill Employment and Entrepreneurship Department,Financial Evaluation,Works,180.0
899,2018-19,Skill Employment and Entrepreneurship Department,Technical Evaluation,Goods,180.0
900,2018-19,Skill Employment and Entrepreneurship Department,To be Opened,Works,180.0
901,2018-19,Social Welfare Department,AOC,Works,225.0
902,2018-19,Social Welfare Department,Evaluation,Goods,60.0
903,2018-19,Social Welfare Department,Financial Evaluation,Goods,94.28571428571429
904,2018-19,Srimanta Sankardeva University of Health Sciences,Technical Evaluation,Services,90.0
905,2018-19,Taxation Department,Financial Bid Opening,Services,90.0
906,2018-19,Taxation Department,Financial Bid Opening,Works,90.0
907,2018-19,Taxation Department,To be Opened,Services,90.0
908,2018-19,Tea Tribes Welfare Department,Financial Evaluation,Goods,213.75
909,2018-19,Tea Tribes Welfare Department,Financial Evaluation,Services,202.5
910,2018-19,Tea Tribes Welfare Department,Technical Evaluation,Goods,225.0
911,2018-19,Tea Tribes Welfare Department,To be Opened,Goods,204.0
912,2018-19,Tea Tribes Welfare Department,To be Opened,Services,180.0
913,2018-19,Urban Development Department,AOC,Services,90.0
914,2018-19,Urban Development Department,AOC,Works,162.1875
915,2018-19,Urban Development Department,Financial Bid Opening,Services,180.0
916,2018-19,Urban Development Department,Financial Bid Opening,Works,135.0
917,2018-19,Urban Development Department,Financial Evaluation,Services,120.0
918,2018-19,Urban Development Department,Financial Evaluation,Works,180.0
919,2018-19,Urban Development Department,Technical Bid Opening,Works,130.0
920,2018-19,Urban Development Department,Technical Evaluation,Services,127.5
921,2018-19,Urban Development Department,Technical Evaluation,Works,114.0
922,2018-19,Urban Development Department,To be Opened,Goods,60.0
923,2018-19,Urban Development Department,To be Opened,Services,135.0
924,2018-19,Urban Development Department,To be Opened,Works,146.14285714285714
925,2018-19,Welfare of Minorities Development Department,AOC,Goods,45.0
926,2018-19,Welfare of Plain Tribes and Backward Classes,AOC,Goods,45.0
927,2018-19,Welfare of Plain Tribes and Backward Classes,AOC,Works,180.0
928,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,476.875
929,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Services,90.0
930,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,140.0
931,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,140.30769230769232
932,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,730.0
933,2018-19,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,264.27272727272725
934,2018-19,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,329.4
935,2018-19,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,51.666666666666664
936,2018-19,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,511.0
937,2018-19,Welfare of Plain Tribes and Backward Classes,To be Opened,Goods,364.2857142857143
938,2018-19,Welfare of Plain Tribes and Backward Classes,To be Opened,Works,175.14705882352942
939,2019-20,Animal Husbandry and Veterinary Department,AOC,Goods,272.5
940,2019-20,Animal Husbandry and Veterinary Department,AOC,Works,180.0
941,2019-20,Animal Husbandry and Veterinary Department,Financial Bid Opening,Goods,90.0
942,2019-20,Animal Husbandry and Veterinary Department,Financial Bid Opening,Services,180.0
943,2019-20,Animal Husbandry and Veterinary Department,Financial Evaluation,Works,180.0
944,2019-20,Animal Husbandry and Veterinary Department,Technical Bid Opening,Goods,90.0
945,2019-20,Animal Husbandry and Veterinary Department,Technical Bid Opening,Services,180.0
946,2019-20,Animal Husbandry and Veterinary Department,Technical Bid Opening,Works,180.0
947,2019-20,Animal Husbandry and Veterinary Department,Technical Evaluation,Services,337.0
948,2019-20,Animal Husbandry and Veterinary Department,To be Opened,Goods,363.75
949,2019-20,Animal Husbandry and Veterinary Department,To be Opened,Services,180.0
950,2019-20,Assam Electricity Grid Corporation Ltd,AOC,Services,180.0
951,2019-20,Assam Electricity Grid Corporation Ltd,AOC,Works,180.0
952,2019-20,Assam Electricity Grid Corporation Ltd,Evaluation,Works,180.0
953,2019-20,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Goods,180.0
954,2019-20,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Services,180.0
955,2019-20,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,185.0
956,2019-20,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Goods,180.0
957,2019-20,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Services,180.0
958,2019-20,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Works,180.0
959,2019-20,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Services,180.0
960,2019-20,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Works,180.0
961,2019-20,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Goods,180.0
962,2019-20,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,195.0
963,2019-20,Assam Electricity Grid Corporation Ltd,To be Opened,Goods,180.0
964,2019-20,Assam Electricity Grid Corporation Ltd,To be Opened,Works,182.30769230769232
965,2019-20,Assam Home Guards and Civil Defence Organization,AOC,Goods,365.0
966,2019-20,Assam Inland Water Transport Development Society,AOC,Goods,107.14285714285714
967,2019-20,Assam Inland Water Transport Development Society,AOC,Services,120.0
968,2019-20,Assam Inland Water Transport Development Society,AOC,Works,112.5
969,2019-20,Assam Inland Water Transport Development Society,Evaluation,Works,120.0
970,2019-20,Assam Inland Water Transport Development Society,To be Opened,Works,90.0
971,2019-20,Assam Police,AOC,Goods,310.0
972,2019-20,Assam Police,AOC,Services,484.6666666666667
973,2019-20,Assam Police,Evaluation,Services,365.0
974,2019-20,Assam Police,Financial Bid Opening,Goods,150.0
975,2019-20,Assam Police,Technical Bid Opening,Goods,365.0
976,2019-20,Assam Police,Technical Bid Opening,Works,365.0
977,2019-20,Assam Police,Technical Evaluation,Goods,365.0
978,2019-20,Assam Police,To be Opened,Goods,172.14285714285714
979,2019-20,Assam Police,To be Opened,Services,523.5
980,2019-20,Assam Police Housing Corporation Ltd,AOC,Works,120.0
981,2019-20,Assam Police Housing Corporation Ltd,Technical Bid Opening,Works,120.0
982,2019-20,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,120.0
983,2019-20,Assam Police Housing Corporation Ltd,To be Opened,Goods,365.0
984,2019-20,Assam Police Housing Corporation Ltd,To be Opened,Services,90.0
985,2019-20,Assam Police Housing Corporation Ltd,To be Opened,Works,119.48275862068965
986,2019-20,Assam Power Distribution Company Ltd,AOC,Goods,180.0
987,2019-20,Assam Power Distribution Company Ltd,AOC,Services,353.375
988,2019-20,Assam Power Distribution Company Ltd,AOC,Works,170.625
989,2019-20,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,180.0
990,2019-20,Assam Power Distribution Company Ltd,Financial Evaluation,Services,365.0
991,2019-20,Assam Power Distribution Company Ltd,Financial Evaluation,Works,180.0
992,2019-20,Assam Power Distribution Company Ltd,Technical Evaluation,Goods,180.0
993,2019-20,Assam Power Distribution Company Ltd,Technical Evaluation,Services,180.0
994,2019-20,Assam Power Distribution Company Ltd,Technical Evaluation,Works,162.0
995,2019-20,Assam Power Distribution Company Ltd,To be Opened,Goods,30.0
996,2019-20,Assam Power Distribution Company Ltd,To be Opened,Services,365.0
997,2019-20,Assam Power Distribution Company Ltd,To be Opened,Works,173.46153846153845
998,2019-20,Assam Power Generation Company Limited,AOC,Goods,180.0
999,2019-20,Assam Power Generation Company Limited,AOC,Services,150.0
1000,2019-20,Assam Power Generation Company Limited,AOC,Works,153.75
1001,2019-20,Assam Power Generation Company Limited,Financial Bid Opening,Goods,120.0
1002,2019-20,Assam Power Generation Company Limited,Financial Bid Opening,Services,180.0
1003,2019-20,Assam Power Generation Company Limited,Financial Bid Opening,Works,180.0
1004,2019-20,Assam Power Generation Company Limited,Technical Bid Opening,Services,180.0
1005,2019-20,Assam Power Generation Company Limited,Technical Evaluation,Services,210.83333333333334
1006,2019-20,Assam Power Generation Company Limited,Technical Evaluation,Works,180.0
1007,2019-20,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,180.0
1008,2019-20,Assam Society for Comprehensive Financial Management System,AOC,Goods,30.0
1009,2019-20,Assam Society for Comprehensive Financial Management System,Financial Bid Opening,Goods,30.0
1010,2019-20,Assam Society for Comprehensive Financial Management System,To be Opened,Goods,120.0
1011,2019-20,Assam State Disaster Management Authority,AOC,Goods,272.5
1012,2019-20,Assam State Disaster Management Authority,AOC,Works,180.0
1013,2019-20,Assam State Disaster Management Authority,Technical Bid Opening,Goods,547.5
1014,2019-20,Assam State Disaster Management Authority,Technical Evaluation,Services,90.0
1015,2019-20,Assam State Disaster Management Authority,To be Opened,Goods,303.3333333333333
1016,2019-20,Assam State Transport Corporation,AOC,Goods,180.0
1017,2019-20,Assam State Transport Corporation,AOC,Services,150.0
1018,2019-20,Assam State Transport Corporation,Financial Bid Opening,Services,180.0
1019,2019-20,Assam State Transport Corporation,Financial Evaluation,Goods,165.0
1020,2019-20,Assam State Transport Corporation,Financial Evaluation,Works,120.0
1021,2019-20,Assam State Transport Corporation,Technical Bid Opening,Goods,180.0
1022,2019-20,Assam State Transport Corporation,Technical Bid Opening,Services,180.0
1023,2019-20,Assam State Transport Corporation,Technical Evaluation,Services,156.0
1024,2019-20,Assam State Transport Corporation,Technical Evaluation,Works,180.0
1025,2019-20,Assam State Transport Corporation,To be Opened,Goods,180.0
1026,2019-20,Assam State Transport Corporation,To be Opened,Services,150.0
1027,2019-20,Assam State Transport Corporation,To be Opened,Works,180.0
1028,2019-20,Assam Urban Infrastructure Investment Program,Financial Bid Opening,Goods,105.0
1029,2019-20,Assam Urban Infrastructure Investment Program,Financial Bid Opening,Works,120.0
1030,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,90.0
1031,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Services,60.0
1032,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,180.0
1033,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Goods,180.0
1034,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Services,241.66666666666666
1035,2019-20,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Works,241.66666666666666
1036,2019-20,Axom Sarba Siksha Abhijan Mission,Technical Bid Opening,Works,150.0
1037,2019-20,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,89.11764705882354
1038,2019-20,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,186.375
1039,2019-20,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,168.42105263157896
1040,2019-20,Axom Sarba Siksha Abhijan Mission,To be Opened,Goods,103.63636363636364
1041,2019-20,Axom Sarba Siksha Abhijan Mission,To be Opened,Services,151.0
1042,2019-20,Axom Sarba Siksha Abhijan Mission,To be Opened,Works,157.5
1043,2019-20,BODOLAND UNIVERSITY,AOC,Works,180.0
1044,2019-20,BODOLAND UNIVERSITY,To be Opened,Works,180.0
1045,2019-20,Bodoland Territorial Council,AOC,Goods,180.0
1046,2019-20,Bodoland Territorial Council,AOC,Works,178.59375
1047,2019-20,Bodoland Territorial Council,Financial Bid Opening,Goods,180.0
1048,2019-20,Bodoland Territorial Council,Financial Bid Opening,Services,180.0
1049,2019-20,Bodoland Territorial Council,Financial Bid Opening,Works,169.5505617977528
1050,2019-20,Bodoland Territorial Council,Financial Evaluation,Goods,180.0
1051,2019-20,Bodoland Territorial Council,Financial Evaluation,Works,146.45454545454547
1052,2019-20,Bodoland Territorial Council,Technical Bid Opening,Goods,180.0
1053,2019-20,Bodoland Territorial Council,Technical Bid Opening,Works,180.0
1054,2019-20,Bodoland Territorial Council,Technical Evaluation,Goods,168.0
1055,2019-20,Bodoland Territorial Council,Technical Evaluation,Works,177.0
1056,2019-20,Bodoland Territorial Council,To be Opened,Goods,180.0
1057,2019-20,Bodoland Territorial Council,To be Opened,Works,177.1875
1058,2019-20,Bodoland Territorial Council-PWD,AOC,Works,180.0
1059,2019-20,Bodoland Territorial Council-PWD,Financial Bid Opening,Works,180.0
1060,2019-20,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,180.0
1061,2019-20,Bodoland Territorial Council-PWD,Technical Evaluation,Services,180.0
1062,2019-20,Bodoland Territorial Council-PWD,Technical Evaluation,Works,180.0
1063,2019-20,Bodoland Territorial Council-PWD,To be Opened,Works,180.39473684210526
1064,2019-20,Bodoland Territorial Council-WRD,AOC,Works,165.48387096774192
1065,2019-20,Bodoland Territorial Council-WRD,Technical Bid Opening,Works,180.0
1066,2019-20,Bodoland Territorial Council-WRD,To be Opened,Works,150.0
1067,2019-20,Border Protection and Development Department,Financial Bid Opening,Services,180.0
1068,2019-20,Border Protection and Development Department,Technical Bid Opening,Services,180.0
1069,2019-20,Border Protection and Development Department,To be Opened,Services,180.0
1070,2019-20,Cooperation Department,AOC,Goods,162.85714285714286
1071,2019-20,Cooperation Department,AOC,Services,82.5
1072,2019-20,Cooperation Department,AOC,Works,180.0
1073,2019-20,Cooperation Department,Evaluation,Works,180.0
1074,2019-20,Cooperation Department,Financial Bid Opening,Works,180.0
1075,2019-20,Cooperation Department,Technical Bid Opening,Works,180.0
1076,2019-20,Cooperation Department,Technical Evaluation,Goods,180.0
1077,2019-20,Cooperation Department,Technical Evaluation,Works,180.0
1078,2019-20,Cooperation Department,To be Opened,Services,162.0
1079,2019-20,Cooperation Department,To be Opened,Works,180.0
1080,2019-20,Cotton University,AOC,Works,180.0
1081,2019-20,Department of Cultural Affairs,AOC,Works,365.0
1082,2019-20,Department of Cultural Affairs,Technical Bid Opening,Works,365.0
1083,2019-20,Department of Cultural Affairs,To be Opened,Works,365.0
1084,2019-20,Department of Fisheries,AOC,Works,45.0
1085,2019-20,Department of Fisheries,Financial Evaluation,Works,180.0
1086,2019-20,Department of Fisheries,Technical Evaluation,Works,112.5
1087,2019-20,Department of Fisheries,To be Opened,Services,180.0
1088,2019-20,Department of Handloom Textile and Sericulture,AOC,Goods,180.0
1089,2019-20,Department of Handloom Textile and Sericulture,AOC,Works,120.0
1090,2019-20,Department of Handloom Textile and Sericulture,Evaluation,Works,45.0
1091,2019-20,Department of Handloom Textile and Sericulture,Financial Bid Opening,Goods,272.5
1092,2019-20,Department of Handloom Textile and Sericulture,Technical Bid Opening,Goods,254.0
1093,2019-20,Department of Handloom Textile and Sericulture,Technical Evaluation,Goods,45.0
1094,2019-20,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,270.0
1095,2019-20,Department of Handloom Textile and Sericulture,To be Opened,Goods,365.0
1096,2019-20,Department of Handloom Textile and Sericulture,To be Opened,Works,180.0
1097,2019-20,Department of Higher Education,AOC,Works,180.0
1098,2019-20,Department of Higher Education,Bid Opening,Goods,10.0
1099,2019-20,Department of Higher Education,Technical Evaluation,Works,180.0
1100,2019-20,Department of Higher Education,To be Opened,Works,180.0
1101,2019-20,Department of Labour and Welfare,AOC,Services,180.0
1102,2019-20,Department of Science and Technology,Financial Evaluation,Goods,180.0
1103,2019-20,Department of Science and Technology,Technical Evaluation,Goods,120.0
1104,2019-20,Department of Science and Technology,To be Opened,Goods,120.0
1105,2019-20,Department of Tourism,Financial Evaluation,Goods,180.0
1106,2019-20,Department of Tourism,Financial Evaluation,Services,195.0
1107,2019-20,Department of Tourism,Financial Evaluation,Works,180.0
1108,2019-20,Department of Tourism,To be Opened,Services,168.75
1109,2019-20,Department of Tourism,To be Opened,Works,180.0
1110,2019-20,Department of Water Resources,AOC,Works,179.42028985507247
1111,2019-20,Department of Water Resources,Evaluation,Works,120.0
1112,2019-20,Department of Water Resources,Financial Bid Opening,Works,180.0
1113,2019-20,Department of Water Resources,Financial Evaluation,Works,180.0
1114,2019-20,Department of Water Resources,Technical Bid Opening,Works,180.0
1115,2019-20,Department of Water Resources,Technical Evaluation,Works,180.0
1116,2019-20,Department of Water Resources,To be Opened,Works,180.0
1117,2019-20,Dibrugarh University,AOC,Works,90.0
1118,2019-20,Dibrugarh University,Technical Evaluation,Goods,90.0
1119,2019-20,Dibrugarh University,Technical Evaluation,Services,90.0
1120,2019-20,Dibrugarh University,Technical Evaluation,Works,90.0
1121,2019-20,Dibrugarh University,To be Opened,Goods,90.0
1122,2019-20,Dibrugarh University,To be Opened,Works,75.0
1123,2019-20,Director- Fire and Emergency Services-Assam,AOC,Works,365.0
1124,2019-20,Director- Fire and Emergency Services-Assam,Financial Bid Opening,Works,365.0
1125,2019-20,Director- Fire and Emergency Services-Assam,Technical Evaluation,Works,180.0
1126,2019-20,Director- Fire and Emergency Services-Assam,To be Opened,Goods,365.0
1127,2019-20,Director- Fire and Emergency Services-Assam,To be Opened,Works,365.0
1128,2019-20,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,90.0
1129,2019-20,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,682.0
1130,2019-20,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,90.0
1131,2019-20,Directorate of Agriculture and Assam Seed Corporation,Bid Opening,Services,365.0
1132,2019-20,Directorate of Agriculture and Assam Seed Corporation,Evaluation,Goods,608.3333333333334
1133,2019-20,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Services,180.0
1134,2019-20,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,90.0
1135,2019-20,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,227.5
1136,2019-20,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,90.0
1137,2019-20,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,90.0
1138,2019-20,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,90.0
1139,2019-20,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Goods,180.0
1140,2019-20,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Works,90.0
1141,2019-20,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Goods,365.0
1142,2019-20,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Services,180.0
1143,2019-20,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Works,90.0
