,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,saving/overrun,tender_count
716,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,Samevalue,1
717,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Services,Samevalue,1
718,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Works,Samevalue,2
719,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,Samevalue,6
720,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Services,Samevalue,1
721,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,Samevalue,2
722,2022-2023,Assam Agricultural University,AOC,Goods,Samevalue,11
723,2022-2023,Assam Agricultural University,AOC,Works,Overrun,1
724,2022-2023,Assam Agricultural University,AOC,Works,Samevalue,7
725,2022-2023,Assam Agricultural University,AOC,Works,Saving,20
726,2022-2023,Assam Agricultural University,Cancelled,Goods,Samevalue,5
727,2022-2023,Assam Agricultural University,Cancelled,Works,Samevalue,6
728,2022-2023,Assam Agricultural University,Technical Evaluation,Works,Samevalue,1
729,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,Samevalue,2
730,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,Saving,2
731,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,Overrun,1
732,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,Samevalue,16
733,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,Saving,10
734,2022-2023,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Samevalue,9
735,2022-2023,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,Samevalue,1
736,2022-2023,Assam Electricity Grid Corporation Ltd,Retender,Works,Samevalue,1
737,2022-2023,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,Samevalue,1
738,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Services,Samevalue,1
739,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,Cancelled,Works,Samevalue,1
740,2022-2023,Assam Police,Cancelled,Goods,Samevalue,4
741,2022-2023,Assam Police,Cancelled,Services,Samevalue,3
742,2022-2023,Assam Police,Technical Evaluation,Services,Samevalue,1
743,2022-2023,Assam Police,To Be Opened,Goods,Samevalue,1
744,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,Overrun,3
745,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,Samevalue,3
746,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,Saving,20
747,2022-2023,Assam Police Housing Corporation Ltd,Cancelled,Works,Samevalue,25
748,2022-2023,Assam Police Housing Corporation Ltd,To Be Opened,Works,Samevalue,1
749,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Samevalue,13
750,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,Samevalue,1
751,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Financial Evaluation,Works,Samevalue,4
752,2022-2023,Assam Power Distribution Company Ltd,AOC,Goods,Samevalue,1
753,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,Overrun,1
754,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,Samevalue,7
755,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,Saving,7
756,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,Overrun,1
757,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,Samevalue,30
758,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,Saving,10
759,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Services,Samevalue,20
760,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Works,Samevalue,19
761,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,Samevalue,1
762,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,Samevalue,17
763,2022-2023,Assam Power Distribution Company Ltd,Financial Evaluation,Works,Samevalue,6
764,2022-2023,Assam Power Distribution Company Ltd,Retender,Works,Samevalue,33
765,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Goods,Samevalue,2
766,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Services,Samevalue,21
767,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Works,Samevalue,22
768,2022-2023,Assam Power Distribution Company Ltd,To Be Opened,Works,Samevalue,2
769,2022-2023,Assam Power Generation Company Limited,AOC,Goods,Samevalue,3
770,2022-2023,Assam Power Generation Company Limited,AOC,Services,Overrun,2
771,2022-2023,Assam Power Generation Company Limited,AOC,Services,Samevalue,4
772,2022-2023,Assam Power Generation Company Limited,AOC,Works,Samevalue,10
773,2022-2023,Assam Power Generation Company Limited,AOC,Works,Saving,2
774,2022-2023,Assam Power Generation Company Limited,Cancelled,Goods,Samevalue,3
775,2022-2023,Assam Power Generation Company Limited,Cancelled,Services,Samevalue,1
776,2022-2023,Assam Power Generation Company Limited,Cancelled,Works,Samevalue,20
777,2022-2023,Assam Power Generation Company Limited,Financial Bid Opening,Services,Samevalue,1
778,2022-2023,Assam Power Generation Company Limited,Financial Evaluation,Works,Samevalue,2
779,2022-2023,Assam Power Generation Company Limited,Technical Bid Opening,Works,Samevalue,2
780,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Services,Samevalue,1
781,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Works,Samevalue,1
782,2022-2023,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Samevalue,1
783,2022-2023,Assam Science and Technology University,AOC,Works,Saving,1
784,2022-2023,Assam State Agricultural Marketing Board,AOC,Services,Samevalue,2
785,2022-2023,Assam State Agricultural Marketing Board,AOC,Works,Samevalue,1
786,2022-2023,Assam State Agricultural Marketing Board,Cancelled,Services,Samevalue,1
787,2022-2023,Assam State Agricultural Marketing Board,To Be Opened,Services,Samevalue,4
788,2022-2023,Assam State Disaster Management Authority,Cancelled,Services,Samevalue,1
789,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,AOC,Services,Samevalue,1
790,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Retender,Services,Samevalue,1
791,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Technical Bid Opening,Services,Samevalue,1
792,2022-2023,Assam State Transport Corporation,AOC,Goods,Samevalue,4
793,2022-2023,Assam State Transport Corporation,AOC,Services,Samevalue,2
794,2022-2023,Assam State Transport Corporation,AOC,Works,Overrun,1
795,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Goods,Samevalue,1
796,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Works,Samevalue,1
797,2022-2023,Assam State Transport Corporation,Financial Evaluation,Goods,Samevalue,1
798,2022-2023,Assam State Transport Corporation,Technical Evaluation,Goods,Samevalue,1
799,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Services,Samevalue,1
800,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Works,Samevalue,17
801,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Samevalue,1
802,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Samevalue,50
803,2022-2023,Axom Sarba Siksha Abhijan Mission,Retender,Works,Samevalue,10
804,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,Samevalue,1
805,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Samevalue,1
806,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Samevalue,1
807,2022-2023,Axom Sarba Siksha Abhijan Mission,To Be Opened,Works,Samevalue,5
808,2022-2023,BODOLAND UNIVERSITY,AOC,Works,Saving,3
809,2022-2023,Bodoland Territorial Council,AOC,Goods,Overrun,1
810,2022-2023,Bodoland Territorial Council,AOC,Goods,Samevalue,19
811,2022-2023,Bodoland Territorial Council,AOC,Goods,Saving,18
812,2022-2023,Bodoland Territorial Council,AOC,Services,Saving,1
813,2022-2023,Bodoland Territorial Council,AOC,Works,Overrun,24
814,2022-2023,Bodoland Territorial Council,AOC,Works,Samevalue,79
815,2022-2023,Bodoland Territorial Council,AOC,Works,Saving,272
816,2022-2023,Bodoland Territorial Council,Cancelled,Goods,Samevalue,17
817,2022-2023,Bodoland Territorial Council,Cancelled,Services,Samevalue,1
818,2022-2023,Bodoland Territorial Council,Cancelled,Works,Samevalue,37
819,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Goods,Samevalue,10
820,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Services,Samevalue,1
821,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Works,Samevalue,25
822,2022-2023,Bodoland Territorial Council,Financial Evaluation,Goods,Samevalue,10
823,2022-2023,Bodoland Territorial Council,Financial Evaluation,Services,Samevalue,1
824,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,Samevalue,47
825,2022-2023,Bodoland Territorial Council,Retender,Goods,Samevalue,2
826,2022-2023,Bodoland Territorial Council,Retender,Services,Samevalue,1
827,2022-2023,Bodoland Territorial Council,Retender,Works,Samevalue,6
828,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Goods,Samevalue,1
829,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Works,Samevalue,1
830,2022-2023,Bodoland Territorial Council,Technical Evaluation,Goods,Samevalue,4
831,2022-2023,Bodoland Territorial Council,Technical Evaluation,Services,Samevalue,1
832,2022-2023,Bodoland Territorial Council,Technical Evaluation,Works,Samevalue,3
833,2022-2023,Bodoland Territorial Council-PWD,AOC,Goods,Samevalue,1
834,2022-2023,Bodoland Territorial Council-PWD,AOC,Services,Saving,1
835,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,Overrun,8
836,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,Samevalue,25
837,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,Saving,194
838,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,35
839,2022-2023,Bodoland Territorial Council-PWD,Retender,Works,Samevalue,1
840,2022-2023,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,Samevalue,2
841,2022-2023,Bodoland Territorial Council-WRD,AOC,Works,Saving,1
842,2022-2023,Chief Minister Secretariat,AOC,Services,Samevalue,1
843,2022-2023,Cooperation Department,AOC,Goods,Samevalue,27
844,2022-2023,Cooperation Department,AOC,Services,Samevalue,1
845,2022-2023,Cooperation Department,AOC,Works,Overrun,1
846,2022-2023,Cooperation Department,AOC,Works,Samevalue,2
847,2022-2023,Cooperation Department,AOC,Works,Saving,2
848,2022-2023,Cooperation Department,Cancelled,Goods,Samevalue,8
849,2022-2023,Cooperation Department,Cancelled,Services,Samevalue,1
850,2022-2023,Cooperation Department,Cancelled,Works,Samevalue,2
851,2022-2023,Cooperation Department,Retender,Goods,Samevalue,4
852,2022-2023,Cooperation Department,Technical Bid Opening,Services,Samevalue,1
853,2022-2023,Cooperation Department,Technical Evaluation,Works,Samevalue,2
854,2022-2023,Cotton University,AOC,Works,Saving,2
855,2022-2023,Cotton University,Technical Evaluation,Goods,Samevalue,3
856,2022-2023,Department of Cultural Affairs,AOC,Services,Samevalue,1
857,2022-2023,Department of Cultural Affairs,Cancelled,Goods,Samevalue,1
858,2022-2023,Department of Cultural Affairs,Cancelled,Services,Samevalue,2
859,2022-2023,Department of Fisheries,Cancelled,Works,Samevalue,3
860,2022-2023,Department of Handloom Textile and Sericulture,AOC,Works,Samevalue,1
861,2022-2023,Department of Handloom Textile and Sericulture,AOC,Works,Saving,1
862,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Goods,Samevalue,1
863,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Works,Samevalue,1
864,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Services,Samevalue,1
865,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Works,Samevalue,1
866,2022-2023,Department of Handloom Textile and Sericulture,Technical Bid Opening,Goods,Samevalue,1
867,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Goods,Samevalue,1
868,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,Samevalue,2
869,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Goods,Samevalue,3
870,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Works,Samevalue,15
871,2022-2023,Department of Higher Education,AOC,Works,Samevalue,1
872,2022-2023,Department of Higher Education,AOC,Works,Saving,1
873,2022-2023,Department of Housing and Urban Affairs,AOC,Goods,Saving,2
874,2022-2023,Department of Housing and Urban Affairs,AOC,Works,Overrun,1
875,2022-2023,Department of Housing and Urban Affairs,AOC,Works,Samevalue,10
876,2022-2023,Department of Housing and Urban Affairs,AOC,Works,Saving,53
877,2022-2023,Department of Housing and Urban Affairs,Cancelled,Works,Samevalue,18
878,2022-2023,Department of Housing and Urban Affairs,Financial Evaluation,Works,Samevalue,2
879,2022-2023,Department of Housing and Urban Affairs,Retender,Works,Samevalue,5
880,2022-2023,Department of Housing and Urban Affairs,To Be Opened,Works,Samevalue,2
881,2022-2023,Department of Labour and Welfare,Cancelled,Services,Samevalue,1
882,2022-2023,Department of Science and Technology,AOC,Services,Samevalue,2
883,2022-2023,Department of Science and Technology,Cancelled,Services,Samevalue,1
884,2022-2023,Department of Science and Technology,Cancelled,Works,Samevalue,1
885,2022-2023,Department of Science and Technology,Financial Evaluation,Services,Samevalue,2
886,2022-2023,Department of Tourism,AOC,Services,Overrun,2
887,2022-2023,Department of Tourism,AOC,Services,Samevalue,5
888,2022-2023,Department of Tourism,AOC,Works,Overrun,3
889,2022-2023,Department of Tourism,AOC,Works,Samevalue,6
890,2022-2023,Department of Tourism,AOC,Works,Saving,1
891,2022-2023,Department of Tourism,Cancelled,Services,Samevalue,5
892,2022-2023,Department of Tourism,Cancelled,Works,Samevalue,1
893,2022-2023,Department of Tourism,Financial Evaluation,Services,Samevalue,11
894,2022-2023,Department of Tourism,Technical Evaluation,Services,Samevalue,1
895,2022-2023,Department of Tourism,Technical Evaluation,Works,Samevalue,1
896,2022-2023,Department of Tourism,To Be Opened,Services,Samevalue,12
897,2022-2023,Department of Water Resources,AOC,Goods,Samevalue,10
898,2022-2023,Department of Water Resources,AOC,Goods,Saving,9
899,2022-2023,Department of Water Resources,AOC,Services,Samevalue,1
900,2022-2023,Department of Water Resources,AOC,Works,Samevalue,52
901,2022-2023,Department of Water Resources,AOC,Works,Saving,87
902,2022-2023,Department of Water Resources,Cancelled,Works,Samevalue,11
903,2022-2023,Department of Water Resources,Financial Bid Opening,Works,Samevalue,17
904,2022-2023,Department of Water Resources,Financial Evaluation,Services,Samevalue,2
905,2022-2023,Department of Water Resources,Financial Evaluation,Works,Samevalue,7
906,2022-2023,Department of Water Resources,Retender,Goods,Samevalue,3
907,2022-2023,Department of Water Resources,Retender,Works,Samevalue,49
908,2022-2023,Department of Water Resources,To Be Opened,Works,Samevalue,1
909,2022-2023,Department of Water Resources-Externally Aided Project,Financial Evaluation,Services,Samevalue,3
910,2022-2023,Dibrugarh University,AOC,Goods,Samevalue,1
911,2022-2023,Dibrugarh University,AOC,Works,Overrun,1
912,2022-2023,Dibrugarh University,AOC,Works,Samevalue,1
913,2022-2023,Dibrugarh University,AOC,Works,Saving,1
914,2022-2023,Dibrugarh University,Cancelled,Goods,Samevalue,4
915,2022-2023,Dibrugarh University,Cancelled,Works,Samevalue,4
916,2022-2023,Dibrugarh University,Financial Evaluation,Services,Samevalue,1
917,2022-2023,Dibrugarh University,Retender,Works,Samevalue,1
918,2022-2023,Dibrugarh University,Technical Evaluation,Goods,Samevalue,2
919,2022-2023,Director- Fire and Emergency Services-Assam,AOC,Works,Samevalue,3
920,2022-2023,Director- Fire and Emergency Services-Assam,AOC,Works,Saving,4
921,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Samevalue,3
922,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,Samevalue,1
923,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,Saving,1
924,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Overrun,1
925,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Samevalue,2
926,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Saving,108
927,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Samevalue,12
928,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,Samevalue,3
929,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,Samevalue,41
930,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Goods,Samevalue,3
931,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,Samevalue,3
932,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Samevalue,3
933,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,Samevalue,2
934,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,Samevalue,11
935,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Goods,Samevalue,1
936,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,Samevalue,2
937,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Works,Samevalue,7
938,2022-2023,Directorate of Agriculture and Assam Seed Corporation,To Be Opened,Services,Samevalue,1
939,2022-2023,Directorate of Forensic Science Assam,AOC,Goods,Samevalue,3
940,2022-2023,Directorate of Forensic Science Assam,Cancelled,Goods,Samevalue,2
941,2022-2023,Directorate of Forensic Science Assam,Financial Evaluation,Goods,Samevalue,1
942,2022-2023,Directorate of Forensic Science Assam,Technical Bid Opening,Goods,Samevalue,1
943,2022-2023,Directorate of Forensic Science Assam,To Be Opened,Goods,Samevalue,1
944,2022-2023,Directorate of Horticulture Assam,Cancelled,Goods,Samevalue,3
945,2022-2023,Directorate of Horticulture Assam,Cancelled,Services,Samevalue,1
946,2022-2023,Directorate of Horticulture Assam,Cancelled,Works,Samevalue,1
947,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Goods,Samevalue,1
948,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Services,Samevalue,1
949,2022-2023,Directorate of Horticulture Assam,Technical Evaluation,Goods,Samevalue,1
950,2022-2023,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Samevalue,1
951,2022-2023,Directorate of Land Records and Survey etc. Assam,Cancelled,Services,Samevalue,1
952,2022-2023,Directorate of Land Records and Survey etc. Assam,Financial Evaluation,Services,Samevalue,1
953,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Samevalue,5
954,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Works,Saving,2
955,2022-2023,Directorate of Sports and Youth Welfare - Assam,Cancelled,Services,Samevalue,4
956,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Goods,Samevalue,1
957,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Services,Samevalue,5
958,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Bid Opening,Services,Samevalue,1
959,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,Samevalue,2
960,2022-2023,Directorate of Sports and Youth Welfare - Assam,To Be Opened,Services,Samevalue,3
961,2022-2023,Elementary Education Department,AOC,Services,Samevalue,1
962,2022-2023,Elementary Education Department,Cancelled,Goods,Samevalue,7
963,2022-2023,Elementary Education Department,Cancelled,Services,Samevalue,7
964,2022-2023,Elementary Education Department,Financial Evaluation,Goods,Samevalue,1
965,2022-2023,Elementary Education Department,Financial Evaluation,Services,Samevalue,1
966,2022-2023,Elementary Education Department,Technical Bid Opening,Goods,Samevalue,1
967,2022-2023,Finance Department,Financial Evaluation,Services,Samevalue,1
968,2022-2023,Finance Department - World Bank Tenders,AOC,Goods,Samevalue,8
969,2022-2023,Finance Department - World Bank Tenders,AOC,Services,Overrun,1
970,2022-2023,Finance Department - World Bank Tenders,AOC,Services,Samevalue,2
971,2022-2023,Finance Department - World Bank Tenders,Cancelled,Goods,Samevalue,7
972,2022-2023,Finance Department - World Bank Tenders,Cancelled,Services,Samevalue,1
973,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Goods,Samevalue,2
974,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Services,Samevalue,1
975,2022-2023,Finance Department - World Bank Tenders,Financial Evaluation,Goods,Samevalue,1
976,2022-2023,Finance Department - World Bank Tenders,Technical Evaluation,Goods,Samevalue,1
977,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,Samevalue,6
978,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Samevalue,2
979,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Saving,118
980,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Works,Saving,1
981,2022-2023,Food Civil Supplies and Consumer Affairs Department,Cancelled,Goods,Samevalue,1
982,2022-2023,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,Samevalue,1
983,2022-2023,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Works,Samevalue,1
984,2022-2023,Gauhati High Court - Guwahati,AOC,Goods,Samevalue,3
985,2022-2023,Gauhati University,AOC,Works,Samevalue,1
986,2022-2023,Gauhati University,AOC,Works,Saving,7
987,2022-2023,Gauhati University,Cancelled,Works,Samevalue,2
988,2022-2023,Gauhati University,Financial Evaluation,Works,Samevalue,1
989,2022-2023,Gauhati University,Retender,Works,Samevalue,2
990,2022-2023,General Administration Department,AOC,Goods,Samevalue,1
991,2022-2023,General Administration Department,AOC,Goods,Saving,1
992,2022-2023,General Administration Department,AOC,Works,Samevalue,1
993,2022-2023,General Administration Department,AOC,Works,Saving,18
994,2022-2023,General Administration Department,Cancelled,Goods,Samevalue,2
995,2022-2023,General Administration Department,Cancelled,Works,Samevalue,9
996,2022-2023,General Administration Department,Financial Bid Opening,Works,Samevalue,6
997,2022-2023,General Administration Department,Financial Evaluation,Works,Samevalue,2
998,2022-2023,General Administration Department,Technical Evaluation,Goods,Samevalue,2
999,2022-2023,General Administration Department,To Be Opened,Works,Samevalue,4
1000,2022-2023,Guwahati Metropolitan Development Authority,AOC,Goods,Overrun,2
1001,2022-2023,Guwahati Metropolitan Development Authority,AOC,Services,Overrun,4
1002,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,Samevalue,16
1003,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,Saving,5
1004,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Services,Samevalue,4
1005,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Works,Samevalue,8
1006,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Services,Samevalue,2
1007,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,Samevalue,2
1008,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,Samevalue,1
1009,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Samevalue,1
1010,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Services,Samevalue,3
1011,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,Samevalue,5
1012,2022-2023,Guwahati Municipal Corporation,AOC,Services,Overrun,1
1013,2022-2023,Guwahati Municipal Corporation,AOC,Services,Samevalue,3
1014,2022-2023,Guwahati Municipal Corporation,AOC,Works,Overrun,1
1015,2022-2023,Guwahati Municipal Corporation,AOC,Works,Samevalue,78
1016,2022-2023,Guwahati Municipal Corporation,AOC,Works,Saving,38
1017,2022-2023,Guwahati Municipal Corporation,Cancelled,Goods,Samevalue,1
1018,2022-2023,Guwahati Municipal Corporation,Cancelled,Services,Samevalue,1
1019,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,Samevalue,239
1020,2022-2023,Guwahati Municipal Corporation,Financial Bid Opening,Works,Samevalue,3
1021,2022-2023,Guwahati Municipal Corporation,Financial Evaluation,Works,Samevalue,3
1022,2022-2023,Guwahati Municipal Corporation,Technical Bid Opening,Works,Samevalue,3
1023,2022-2023,Guwahati Municipal Corporation,Technical Evaluation,Works,Samevalue,10
1024,2022-2023,Guwahati Municipal Corporation,To Be Opened,Works,Samevalue,9
1025,2022-2023,Guwahati Smart City Ltd.,AOC,Services,Saving,1
1026,2022-2023,Health and Family Welfare Department,AOC,Goods,Samevalue,41
1027,2022-2023,Health and Family Welfare Department,AOC,Goods,Saving,2
1028,2022-2023,Health and Family Welfare Department,AOC,Services,Samevalue,7
1029,2022-2023,Health and Family Welfare Department,AOC,Works,Samevalue,1
1030,2022-2023,Health and Family Welfare Department,Cancelled,Goods,Samevalue,28
1031,2022-2023,Health and Family Welfare Department,Cancelled,Services,Samevalue,11
1032,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Goods,Samevalue,12
1033,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Services,Samevalue,2
1034,2022-2023,Health and Family Welfare Department,Financial Evaluation,Goods,Samevalue,10
1035,2022-2023,Health and Family Welfare Department,Financial Evaluation,Services,Samevalue,3
1036,2022-2023,Health and Family Welfare Department,Retender,Goods,Samevalue,6
1037,2022-2023,Health and Family Welfare Department,Retender,Services,Samevalue,3
1038,2022-2023,Health and Family Welfare Department,Retender,Works,Samevalue,1
1039,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Goods,Samevalue,2
1040,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Services,Samevalue,1
1041,2022-2023,Health and Family Welfare Department,Technical Evaluation,Goods,Samevalue,1
1042,2022-2023,Health and Family Welfare Department,To Be Opened,Goods,Samevalue,3
1043,2022-2023,Health and Family Welfare Department,To Be Opened,Services,Samevalue,2
1044,2022-2023,Health and Family Welfare Department,To Be Opened,Works,Samevalue,1
1045,2022-2023,Home B,AOC,Goods,Overrun,5
1046,2022-2023,Home B,AOC,Goods,Samevalue,70
1047,2022-2023,Home B,Cancelled,Goods,Samevalue,38
1048,2022-2023,Home B,Financial Bid Opening,Goods,Samevalue,3
1049,2022-2023,Home B,Financial Evaluation,Goods,Samevalue,14
1050,2022-2023,Home B,Retender,Goods,Samevalue,1
1051,2022-2023,Home B,Technical Evaluation,Goods,Samevalue,3
1052,2022-2023,Home B,To Be Opened,Goods,Samevalue,24
1053,2022-2023,Industries and Commerce Department,AOC,Goods,Overrun,7
1054,2022-2023,Industries and Commerce Department,AOC,Goods,Samevalue,19
1055,2022-2023,Industries and Commerce Department,AOC,Goods,Saving,12
1056,2022-2023,Industries and Commerce Department,AOC,Services,Samevalue,15
1057,2022-2023,Industries and Commerce Department,AOC,Services,Saving,8
1058,2022-2023,Industries and Commerce Department,AOC,Works,Overrun,2
1059,2022-2023,Industries and Commerce Department,AOC,Works,Samevalue,42
1060,2022-2023,Industries and Commerce Department,AOC,Works,Saving,13
1061,2022-2023,Industries and Commerce Department,Cancelled,Goods,Samevalue,18
1062,2022-2023,Industries and Commerce Department,Cancelled,Services,Samevalue,16
1063,2022-2023,Industries and Commerce Department,Cancelled,Works,Samevalue,20
1064,2022-2023,Industries and Commerce Department,Financial Bid Opening,Goods,Samevalue,1
1065,2022-2023,Industries and Commerce Department,Financial Bid Opening,Services,Samevalue,4
1066,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,Samevalue,10
1067,2022-2023,Industries and Commerce Department,Financial Evaluation,Works,Samevalue,2
1068,2022-2023,Industries and Commerce Department,Retender,Goods,Samevalue,1
1069,2022-2023,Industries and Commerce Department,Retender,Services,Samevalue,1
