,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,tender/procurementMethod,tender_count
759,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Works,Open Tender,14
760,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Services,Open Tender,3
761,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Works,Open Tender,7
762,2022-2023,Animal Husbandry and Veterinary Department,Financial Evaluation,Goods,Open Tender,1
763,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,Open Tender,1
764,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Services,Open Tender,1
765,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Works,Open Tender,2
766,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,Open Tender,6
767,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Services,Open Tender,1
768,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,Open Tender,2
769,2022-2023,Assam Agricultural University,AOC,Goods,Open Tender,11
770,2022-2023,Assam Agricultural University,AOC,Works,Open Tender,28
771,2022-2023,Assam Agricultural University,Cancelled,Goods,Open Tender,5
772,2022-2023,Assam Agricultural University,Cancelled,Works,Open Tender,6
773,2022-2023,Assam Agricultural University,Technical Evaluation,Works,Open Tender,1
774,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,Open Tender,4
775,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,Open Tender,27
776,2022-2023,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open Tender,9
777,2022-2023,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,Open Tender,1
778,2022-2023,Assam Electricity Grid Corporation Ltd,Retender,Works,Open Tender,1
779,2022-2023,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,Open Tender,1
780,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Services,Open Tender,1
781,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,Cancelled,Works,Open Tender,1
782,2022-2023,Assam Police,Cancelled,Goods,Open Tender,4
783,2022-2023,Assam Police,Cancelled,Services,Open Tender,3
784,2022-2023,Assam Police,Technical Evaluation,Services,Open Tender,1
785,2022-2023,Assam Police,To Be Opened,Goods,Open Tender,1
786,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,Open Tender,26
787,2022-2023,Assam Police Housing Corporation Ltd,Cancelled,Works,Open Tender,25
788,2022-2023,Assam Police Housing Corporation Ltd,To Be Opened,Works,Open Tender,1
789,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Open Tender,13
790,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,Open Tender,1
791,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Financial Evaluation,Works,Open Tender,4
792,2022-2023,Assam Power Distribution Company Ltd,AOC,Goods,Open Tender,1
793,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,Open Tender,15
794,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,Open Tender,41
795,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Services,Open Tender,20
796,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Works,Open Tender,19
797,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,Open Tender,1
798,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,Open Tender,17
799,2022-2023,Assam Power Distribution Company Ltd,Financial Evaluation,Works,Open Tender,6
800,2022-2023,Assam Power Distribution Company Ltd,Retender,Works,Open Tender,33
801,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Goods,Open Tender,2
802,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Services,Open Tender,21
803,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Works,Open Tender,22
804,2022-2023,Assam Power Distribution Company Ltd,To Be Opened,Works,Open Tender,2
805,2022-2023,Assam Power Generation Company Limited,AOC,Goods,Open Tender,3
806,2022-2023,Assam Power Generation Company Limited,AOC,Services,Limited,2
807,2022-2023,Assam Power Generation Company Limited,AOC,Services,Open Tender,4
808,2022-2023,Assam Power Generation Company Limited,AOC,Works,Open Tender,12
809,2022-2023,Assam Power Generation Company Limited,Cancelled,Goods,Open Tender,3
810,2022-2023,Assam Power Generation Company Limited,Cancelled,Services,Limited,1
811,2022-2023,Assam Power Generation Company Limited,Cancelled,Works,Open Tender,20
812,2022-2023,Assam Power Generation Company Limited,Financial Bid Opening,Services,Open Tender,1
813,2022-2023,Assam Power Generation Company Limited,Financial Evaluation,Works,Open Tender,2
814,2022-2023,Assam Power Generation Company Limited,Technical Bid Opening,Works,Open Tender,2
815,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Services,Open Tender,1
816,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Works,Open Tender,1
817,2022-2023,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Global Tenders,1
818,2022-2023,Assam Science and Technology University,AOC,Works,Open Tender,1
819,2022-2023,Assam State Agricultural Marketing Board,AOC,Services,Open Tender,2
820,2022-2023,Assam State Agricultural Marketing Board,AOC,Works,Open Tender,1
821,2022-2023,Assam State Agricultural Marketing Board,Cancelled,Services,Open Tender,1
822,2022-2023,Assam State Agricultural Marketing Board,To Be Opened,Services,Open Tender,4
823,2022-2023,Assam State Disaster Management Authority,Cancelled,Services,Open Tender,1
824,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,AOC,Services,Open Tender,1
825,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Retender,Services,Limited,1
826,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Technical Bid Opening,Services,Limited,1
827,2022-2023,Assam State Transport Corporation,AOC,Goods,Open Tender,4
828,2022-2023,Assam State Transport Corporation,AOC,Services,Open Tender,2
829,2022-2023,Assam State Transport Corporation,AOC,Works,Open Tender,1
830,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Goods,Open Tender,1
831,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Works,Open Tender,1
832,2022-2023,Assam State Transport Corporation,Financial Evaluation,Goods,Open Tender,1
833,2022-2023,Assam State Transport Corporation,Technical Evaluation,Goods,Open Tender,1
834,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Services,Open Tender,1
835,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Works,Open Tender,17
836,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Open Tender,1
837,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Open Tender,50
838,2022-2023,Axom Sarba Siksha Abhijan Mission,Retender,Works,Open Tender,10
839,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,Open Tender,1
840,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Open Tender,1
841,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Open Tender,1
842,2022-2023,Axom Sarba Siksha Abhijan Mission,To Be Opened,Works,Open Tender,5
843,2022-2023,BODOLAND UNIVERSITY,AOC,Works,Open Tender,3
844,2022-2023,Bodoland Territorial Council,AOC,Goods,Open Tender,38
845,2022-2023,Bodoland Territorial Council,AOC,Services,Open Tender,1
846,2022-2023,Bodoland Territorial Council,AOC,Works,Open Tender,375
847,2022-2023,Bodoland Territorial Council,Cancelled,Goods,Open Tender,17
848,2022-2023,Bodoland Territorial Council,Cancelled,Services,Open Tender,1
849,2022-2023,Bodoland Territorial Council,Cancelled,Works,Open Tender,37
850,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Goods,Open Tender,10
851,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Services,Open Tender,1
852,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Works,Open Tender,25
853,2022-2023,Bodoland Territorial Council,Financial Evaluation,Goods,Open Tender,10
854,2022-2023,Bodoland Territorial Council,Financial Evaluation,Services,Open Tender,1
855,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,Open Tender,47
856,2022-2023,Bodoland Territorial Council,Retender,Goods,Open Tender,2
857,2022-2023,Bodoland Territorial Council,Retender,Services,Open Tender,1
858,2022-2023,Bodoland Territorial Council,Retender,Works,Open Tender,6
859,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Goods,Open Tender,1
860,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Works,Open Tender,1
861,2022-2023,Bodoland Territorial Council,Technical Evaluation,Goods,Open Tender,4
862,2022-2023,Bodoland Territorial Council,Technical Evaluation,Services,Open Tender,1
863,2022-2023,Bodoland Territorial Council,Technical Evaluation,Works,Open Tender,3
864,2022-2023,Bodoland Territorial Council-PWD,AOC,Goods,Open Tender,1
865,2022-2023,Bodoland Territorial Council-PWD,AOC,Services,Open Tender,1
866,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,Open Tender,227
867,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,Open Tender,35
868,2022-2023,Bodoland Territorial Council-PWD,Retender,Works,Open Tender,1
869,2022-2023,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,Open Tender,2
870,2022-2023,Bodoland Territorial Council-WRD,AOC,Works,Open Tender,1
871,2022-2023,Chief Minister Secretariat,AOC,Services,Open Tender,1
872,2022-2023,Cooperation Department,AOC,Goods,Open Tender,27
873,2022-2023,Cooperation Department,AOC,Services,Open Tender,1
874,2022-2023,Cooperation Department,AOC,Works,Open Tender,5
875,2022-2023,Cooperation Department,Cancelled,Goods,Open Tender,8
876,2022-2023,Cooperation Department,Cancelled,Services,Open Tender,1
877,2022-2023,Cooperation Department,Cancelled,Works,Open Tender,2
878,2022-2023,Cooperation Department,Retender,Goods,Open Tender,4
879,2022-2023,Cooperation Department,Technical Bid Opening,Services,Open Tender,1
880,2022-2023,Cooperation Department,Technical Evaluation,Works,Open Tender,2
881,2022-2023,Cotton University,AOC,Works,Open Tender,2
882,2022-2023,Cotton University,Technical Evaluation,Goods,Open Tender,3
883,2022-2023,Department of Cultural Affairs,AOC,Services,Limited,1
884,2022-2023,Department of Cultural Affairs,Cancelled,Goods,Open Tender,1
885,2022-2023,Department of Cultural Affairs,Cancelled,Services,Limited,1
886,2022-2023,Department of Cultural Affairs,Cancelled,Services,Open Tender,1
887,2022-2023,Department of Fisheries,Cancelled,Works,Open Tender,3
888,2022-2023,Department of Handloom Textile and Sericulture,AOC,Works,Open Tender,2
889,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Goods,Open Tender,1
890,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Works,Open Tender,1
891,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Services,Open Tender,1
892,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Works,Open Tender,1
893,2022-2023,Department of Handloom Textile and Sericulture,Technical Bid Opening,Goods,Open Tender,1
894,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Goods,Open Tender,1
895,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,Open Tender,2
896,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Goods,Open Tender,3
897,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Works,Open Tender,15
898,2022-2023,Department of Higher Education,AOC,Works,Open Tender,2
899,2022-2023,Department of Housing and Urban Affairs,AOC,Goods,Open Tender,2
900,2022-2023,Department of Housing and Urban Affairs,AOC,Works,Open Tender,64
901,2022-2023,Department of Housing and Urban Affairs,Cancelled,Works,Open Tender,18
902,2022-2023,Department of Housing and Urban Affairs,Financial Evaluation,Works,Open Tender,2
903,2022-2023,Department of Housing and Urban Affairs,Retender,Works,Open Tender,5
904,2022-2023,Department of Housing and Urban Affairs,To Be Opened,Works,Open Tender,2
905,2022-2023,Department of Labour and Welfare,Cancelled,Services,Open Tender,1
906,2022-2023,Department of Science and Technology,AOC,Services,Open Tender,2
907,2022-2023,Department of Science and Technology,Cancelled,Services,Open Tender,1
908,2022-2023,Department of Science and Technology,Cancelled,Works,Open Tender,1
909,2022-2023,Department of Science and Technology,Financial Evaluation,Services,Open Tender,2
910,2022-2023,Department of Tourism,AOC,Services,Open Tender,7
911,2022-2023,Department of Tourism,AOC,Works,Open Tender,10
912,2022-2023,Department of Tourism,Cancelled,Services,Open Tender,5
913,2022-2023,Department of Tourism,Cancelled,Works,Open Tender,1
914,2022-2023,Department of Tourism,Financial Evaluation,Services,Open Tender,11
915,2022-2023,Department of Tourism,Technical Evaluation,Services,Open Tender,1
916,2022-2023,Department of Tourism,Technical Evaluation,Works,Open Tender,1
917,2022-2023,Department of Tourism,To Be Opened,Services,Open Tender,12
918,2022-2023,Department of Water Resources,AOC,Goods,Open Tender,18
919,2022-2023,Department of Water Resources,AOC,Goods,Single,1
920,2022-2023,Department of Water Resources,AOC,Services,Limited,1
921,2022-2023,Department of Water Resources,AOC,Works,Open Tender,139
922,2022-2023,Department of Water Resources,Cancelled,Works,Open Tender,11
923,2022-2023,Department of Water Resources,Financial Bid Opening,Works,Open Tender,17
924,2022-2023,Department of Water Resources,Financial Evaluation,Services,Open Tender,2
925,2022-2023,Department of Water Resources,Financial Evaluation,Works,Open Tender,7
926,2022-2023,Department of Water Resources,Retender,Goods,Open Tender,3
927,2022-2023,Department of Water Resources,Retender,Works,Open Tender,49
928,2022-2023,Department of Water Resources,To Be Opened,Works,Open Tender,1
929,2022-2023,Department of Water Resources-Externally Aided Project,Financial Evaluation,Services,Open Tender,3
930,2022-2023,Dibrugarh University,AOC,Goods,Open Tender,1
931,2022-2023,Dibrugarh University,AOC,Works,Open Tender,3
932,2022-2023,Dibrugarh University,Cancelled,Goods,Open Tender,4
933,2022-2023,Dibrugarh University,Cancelled,Works,Open Tender,4
934,2022-2023,Dibrugarh University,Financial Evaluation,Services,Open Tender,1
935,2022-2023,Dibrugarh University,Retender,Works,Open Tender,1
936,2022-2023,Dibrugarh University,Technical Evaluation,Goods,Open Tender,2
937,2022-2023,Director- Fire and Emergency Services-Assam,AOC,Works,Open Tender,7
938,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Open Tender,3
939,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,Open Tender,2
940,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Open Tender,111
941,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Open Tender,12
942,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,Open Tender,3
943,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,Open Tender,41
944,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Goods,Open Tender,3
945,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,Open Tender,3
946,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Open Tender,3
947,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,Open Tender,2
948,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,Open Tender,11
949,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Goods,Open Tender,1
950,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,Open Tender,2
951,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Works,Open Tender,7
952,2022-2023,Directorate of Agriculture and Assam Seed Corporation,To Be Opened,Services,Open Tender,1
953,2022-2023,Directorate of Forensic Science Assam,AOC,Goods,Open Tender,3
954,2022-2023,Directorate of Forensic Science Assam,Cancelled,Goods,Open Tender,2
955,2022-2023,Directorate of Forensic Science Assam,Financial Evaluation,Goods,Open Tender,1
956,2022-2023,Directorate of Forensic Science Assam,Technical Bid Opening,Goods,Open Tender,1
957,2022-2023,Directorate of Forensic Science Assam,To Be Opened,Goods,Open Tender,1
958,2022-2023,Directorate of Horticulture Assam,Cancelled,Goods,Open Tender,3
959,2022-2023,Directorate of Horticulture Assam,Cancelled,Services,Open Tender,1
960,2022-2023,Directorate of Horticulture Assam,Cancelled,Works,Open Tender,1
961,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Goods,Open Tender,1
962,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Services,Open Tender,1
963,2022-2023,Directorate of Horticulture Assam,Technical Evaluation,Goods,Open Tender,1
964,2022-2023,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Limited,1
965,2022-2023,Directorate of Land Records and Survey etc. Assam,Cancelled,Services,Open Tender,1
966,2022-2023,Directorate of Land Records and Survey etc. Assam,Financial Evaluation,Services,Open Tender,1
967,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Open Tender,5
968,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Works,Open Tender,2
969,2022-2023,Directorate of Sports and Youth Welfare - Assam,Cancelled,Services,Open Tender,4
970,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Goods,Open Tender,1
971,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Services,Open Tender,5
972,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Bid Opening,Services,Open Tender,1
973,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,Open Tender,2
974,2022-2023,Directorate of Sports and Youth Welfare - Assam,To Be Opened,Services,Open Tender,3
975,2022-2023,Elementary Education Department,AOC,Services,Open Tender,1
976,2022-2023,Elementary Education Department,Cancelled,Goods,Open Tender,7
977,2022-2023,Elementary Education Department,Cancelled,Services,Open Tender,7
978,2022-2023,Elementary Education Department,Financial Evaluation,Goods,Open Tender,1
979,2022-2023,Elementary Education Department,Financial Evaluation,Services,Open Tender,1
980,2022-2023,Elementary Education Department,Technical Bid Opening,Goods,Limited,1
981,2022-2023,Finance Department,Financial Evaluation,Services,Open Tender,1
982,2022-2023,Finance Department - World Bank Tenders,AOC,Goods,Open Tender,8
983,2022-2023,Finance Department - World Bank Tenders,AOC,Services,Limited,1
984,2022-2023,Finance Department - World Bank Tenders,AOC,Services,Open Tender,1
985,2022-2023,Finance Department - World Bank Tenders,AOC,Services,Single,1
986,2022-2023,Finance Department - World Bank Tenders,Cancelled,Goods,Open Tender,5
987,2022-2023,Finance Department - World Bank Tenders,Cancelled,Goods,Single,2
988,2022-2023,Finance Department - World Bank Tenders,Cancelled,Services,Open Tender,1
989,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Goods,Open Tender,2
990,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Services,Single,1
991,2022-2023,Finance Department - World Bank Tenders,Financial Evaluation,Goods,Open Tender,1
992,2022-2023,Finance Department - World Bank Tenders,Technical Evaluation,Goods,Open Tender,1
993,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,Open Tender,6
994,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Open Tender,120
995,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Works,Open Tender,1
996,2022-2023,Food Civil Supplies and Consumer Affairs Department,Cancelled,Goods,Open Tender,1
997,2022-2023,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,Open Tender,1
998,2022-2023,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Works,Open Tender,1
999,2022-2023,Gauhati High Court - Guwahati,AOC,Goods,Open Tender,3
1000,2022-2023,Gauhati University,AOC,Works,Open Tender,8
1001,2022-2023,Gauhati University,Cancelled,Works,Open Tender,2
1002,2022-2023,Gauhati University,Financial Evaluation,Works,Open Tender,1
1003,2022-2023,Gauhati University,Retender,Works,Open Tender,2
1004,2022-2023,General Administration Department,AOC,Goods,Open Tender,2
1005,2022-2023,General Administration Department,AOC,Works,Open Tender,19
1006,2022-2023,General Administration Department,Cancelled,Goods,Open Tender,2
1007,2022-2023,General Administration Department,Cancelled,Works,Open Tender,9
1008,2022-2023,General Administration Department,Financial Bid Opening,Works,Open Tender,6
1009,2022-2023,General Administration Department,Financial Evaluation,Works,Open Tender,2
1010,2022-2023,General Administration Department,Technical Evaluation,Goods,Open Tender,2
1011,2022-2023,General Administration Department,To Be Opened,Works,Open Tender,4
1012,2022-2023,Guwahati Metropolitan Development Authority,AOC,Goods,Open Tender,2
1013,2022-2023,Guwahati Metropolitan Development Authority,AOC,Services,Open Tender,4
1014,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,Open Tender,21
1015,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Services,Open Tender,4
1016,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Works,Open Tender,8
1017,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Services,Open Tender,2
1018,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,Open Tender,2
1019,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,Open Tender,1
1020,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Open Tender,1
1021,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Services,Open Tender,3
1022,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,Open Tender,5
1023,2022-2023,Guwahati Municipal Corporation,AOC,Services,Open Tender,4
1024,2022-2023,Guwahati Municipal Corporation,AOC,Works,Open Tender,117
1025,2022-2023,Guwahati Municipal Corporation,Cancelled,Goods,Open Tender,1
1026,2022-2023,Guwahati Municipal Corporation,Cancelled,Services,Open Tender,1
1027,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,Open Tender,239
1028,2022-2023,Guwahati Municipal Corporation,Financial Bid Opening,Works,Open Tender,3
1029,2022-2023,Guwahati Municipal Corporation,Financial Evaluation,Works,Open Tender,3
1030,2022-2023,Guwahati Municipal Corporation,Technical Bid Opening,Works,Open Tender,3
1031,2022-2023,Guwahati Municipal Corporation,Technical Evaluation,Works,Open Tender,10
1032,2022-2023,Guwahati Municipal Corporation,To Be Opened,Works,Open Tender,9
1033,2022-2023,Guwahati Smart City Ltd.,AOC,Services,Open Tender,1
1034,2022-2023,Health and Family Welfare Department,AOC,Goods,Open Tender,43
1035,2022-2023,Health and Family Welfare Department,AOC,Services,Open Tender,7
1036,2022-2023,Health and Family Welfare Department,AOC,Works,Open Tender,1
1037,2022-2023,Health and Family Welfare Department,Cancelled,Goods,Open Tender,28
1038,2022-2023,Health and Family Welfare Department,Cancelled,Services,Open Tender,11
1039,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Goods,Open Tender,12
1040,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Services,Open Tender,2
1041,2022-2023,Health and Family Welfare Department,Financial Evaluation,Goods,Open Tender,10
1042,2022-2023,Health and Family Welfare Department,Financial Evaluation,Services,Open Tender,3
1043,2022-2023,Health and Family Welfare Department,Retender,Goods,Open Tender,6
1044,2022-2023,Health and Family Welfare Department,Retender,Services,Open Tender,3
1045,2022-2023,Health and Family Welfare Department,Retender,Works,Open Tender,1
1046,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Goods,Open Tender,2
1047,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Services,Open Tender,1
1048,2022-2023,Health and Family Welfare Department,Technical Evaluation,Goods,Open Tender,1
1049,2022-2023,Health and Family Welfare Department,To Be Opened,Goods,Open Tender,3
1050,2022-2023,Health and Family Welfare Department,To Be Opened,Services,Open Tender,2
1051,2022-2023,Health and Family Welfare Department,To Be Opened,Works,Open Tender,1
1052,2022-2023,Home B,AOC,Goods,Open Tender,75
1053,2022-2023,Home B,Cancelled,Goods,Open Tender,38
1054,2022-2023,Home B,Financial Bid Opening,Goods,Open Tender,3
1055,2022-2023,Home B,Financial Evaluation,Goods,Open Tender,14
1056,2022-2023,Home B,Retender,Goods,Open Tender,1
1057,2022-2023,Home B,Technical Evaluation,Goods,Open Tender,3
1058,2022-2023,Home B,To Be Opened,Goods,Open Tender,24
1059,2022-2023,Industries and Commerce Department,AOC,Goods,Limited,5
1060,2022-2023,Industries and Commerce Department,AOC,Goods,Open Limited,20
1061,2022-2023,Industries and Commerce Department,AOC,Goods,Open Tender,13
1062,2022-2023,Industries and Commerce Department,AOC,Services,Limited,3
1063,2022-2023,Industries and Commerce Department,AOC,Services,Open Limited,2
1064,2022-2023,Industries and Commerce Department,AOC,Services,Open Tender,18
1065,2022-2023,Industries and Commerce Department,AOC,Works,Limited,8
1066,2022-2023,Industries and Commerce Department,AOC,Works,Open Limited,4
1067,2022-2023,Industries and Commerce Department,AOC,Works,Open Tender,45
1068,2022-2023,Industries and Commerce Department,Cancelled,Goods,Limited,1
1069,2022-2023,Industries and Commerce Department,Cancelled,Goods,Open Limited,4
1070,2022-2023,Industries and Commerce Department,Cancelled,Goods,Open Tender,13
1071,2022-2023,Industries and Commerce Department,Cancelled,Services,Limited,1
1072,2022-2023,Industries and Commerce Department,Cancelled,Services,Open Limited,1
1073,2022-2023,Industries and Commerce Department,Cancelled,Services,Open Tender,14
1074,2022-2023,Industries and Commerce Department,Cancelled,Works,Limited,3
1075,2022-2023,Industries and Commerce Department,Cancelled,Works,Open Tender,17
1076,2022-2023,Industries and Commerce Department,Financial Bid Opening,Goods,Open Limited,1
1077,2022-2023,Industries and Commerce Department,Financial Bid Opening,Services,Open Tender,4
1078,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,Limited,1
1079,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,Open Limited,5
1080,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,Open Tender,4
1081,2022-2023,Industries and Commerce Department,Financial Evaluation,Works,Open Tender,2
1082,2022-2023,Industries and Commerce Department,Retender,Goods,Open Tender,1
1083,2022-2023,Industries and Commerce Department,Retender,Services,Open Tender,1
1084,2022-2023,Industries and Commerce Department,Retender,Works,Open Limited,1
1085,2022-2023,Industries and Commerce Department,Retender,Works,Open Tender,4
1086,2022-2023,Industries and Commerce Department,Technical Bid Opening,Services,Limited,1
1087,2022-2023,Industries and Commerce Department,Technical Bid Opening,Services,Open Limited,1
1088,2022-2023,Industries and Commerce Department,Technical Bid Opening,Services,Open Tender,3
1089,2022-2023,Industries and Commerce Department,Technical Bid Opening,Works,Limited,11
1090,2022-2023,Industries and Commerce Department,Technical Bid Opening,Works,Open Tender,2
1091,2022-2023,Industries and Commerce Department,Technical Evaluation,Goods,Open Tender,13
1092,2022-2023,Industries and Commerce Department,Technical Evaluation,Services,Open Tender,4
1093,2022-2023,Industries and Commerce Department,Technical Evaluation,Works,Limited,1
1094,2022-2023,Industries and Commerce Department,Technical Evaluation,Works,Open Tender,4
1095,2022-2023,Industries and Commerce Department,To Be Opened,Goods,Open Tender,4
1096,2022-2023,Industries and Commerce Department,To Be Opened,Services,Limited,1
1097,2022-2023,Industries and Commerce Department,To Be Opened,Services,Open Tender,5
1098,2022-2023,Industries and Commerce Department,To Be Opened,Works,Open Tender,1
1099,2022-2023,Information - Public Relations - Printing and Stationery Department,AOC,Works,Open Tender,1
1100,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,Open Tender,2
1101,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Services,Open Tender,5
1102,2022-2023,Information - Public Relations - Printing and Stationery Department,Retender,Services,Open Tender,2
1103,2022-2023,Information - Public Relations - Printing and Stationery Department,Technical Evaluation,Works,Open Tender,3
1104,2022-2023,Information and Public Relations Department,AOC,Goods,Open Tender,1
1105,2022-2023,Information and Public Relations Department,AOC,Services,Open Tender,1
1106,2022-2023,Information and Public Relations Department,Cancelled,Goods,Open Tender,1
1107,2022-2023,Information and Public Relations Department,Cancelled,Services,Open Tender,2
