,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
734,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,3 bids,4
735,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,4 and more bids,5
736,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Services,3 bids,4
737,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Works,3 bids,2
738,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,0 bids,1
739,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,1 bids,1
740,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,2 bids,2
741,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,3 bids,3
742,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,4 and more bids,8
743,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,0 bids,5
744,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,2 bids,1
745,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,3 bids,2
746,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,4 and more bids,2
747,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,2 bids,1
748,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,3 bids,1
749,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,4 and more bids,2
750,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,4 and more bids,1
751,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Services,0 bids,2
752,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,4 and more bids,2
753,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,1 bids,1
754,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,2 bids,1
755,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,4 and more bids,1
756,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Goods,1 bids,1
757,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Services,3 bids,1
758,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Services,4 and more bids,1
759,2021-2022,BODOLAND UNIVERSITY,AOC,Works,2 bids,1
760,2021-2022,BODOLAND UNIVERSITY,AOC,Works,3 bids,3
761,2021-2022,BODOLAND UNIVERSITY,Cancelled,Works,0 bids,2
762,2021-2022,Bodoland Territorial Council,AOC,Goods,3 bids,1
763,2021-2022,Bodoland Territorial Council,AOC,Goods,4 and more bids,1
764,2021-2022,Bodoland Territorial Council,AOC,Works,2 bids,38
765,2021-2022,Bodoland Territorial Council,AOC,Works,3 bids,114
766,2021-2022,Bodoland Territorial Council,AOC,Works,4 and more bids,57
767,2021-2022,Bodoland Territorial Council,Cancelled,Goods,0 bids,1
768,2021-2022,Bodoland Territorial Council,Cancelled,Works,0 bids,20
769,2021-2022,Bodoland Territorial Council,Cancelled,Works,1 bids,3
770,2021-2022,Bodoland Territorial Council,Cancelled,Works,2 bids,3
771,2021-2022,Bodoland Territorial Council,Cancelled,Works,3 bids,12
772,2021-2022,Bodoland Territorial Council,Cancelled,Works,4 and more bids,7
773,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Goods,3 bids,7
774,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Goods,4 and more bids,1
775,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Works,4 and more bids,3
776,2021-2022,Bodoland Territorial Council,Financial Evaluation,Goods,2 bids,1
777,2021-2022,Bodoland Territorial Council,Financial Evaluation,Goods,3 bids,3
778,2021-2022,Bodoland Territorial Council,Financial Evaluation,Goods,4 and more bids,15
779,2021-2022,Bodoland Territorial Council,Financial Evaluation,Works,2 bids,3
780,2021-2022,Bodoland Territorial Council,Financial Evaluation,Works,3 bids,1
781,2021-2022,Bodoland Territorial Council,Retender,Goods,0 bids,2
782,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Goods,0 bids,3
783,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Goods,4 and more bids,1
784,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Works,0 bids,3
785,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Works,1 bids,3
786,2021-2022,Bodoland Territorial Council,Technical Evaluation,Goods,1 bids,1
787,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,1 bids,2
788,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,2 bids,2
789,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,3 bids,1
790,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,4 and more bids,3
791,2021-2022,Bodoland Territorial Council,To Be Opened,Works,0 bids,1
792,2021-2022,Bodoland Territorial Council,To Be Opened,Works,2 bids,1
793,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,0 bids,1
794,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,1 bids,1
795,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,2 bids,62
796,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,3 bids,120
797,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,4 and more bids,45
798,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,11
799,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,1 bids,2
800,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,2 bids,8
801,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,3 bids,4
802,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,4 and more bids,13
803,2021-2022,Bodoland Territorial Council-PWD,Technical Evaluation,Works,2 bids,1
804,2021-2022,Bodoland Territorial Council-PWD,Technical Evaluation,Works,4 and more bids,1
805,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,0 bids,8
806,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,1 bids,1
807,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,2 bids,1
808,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,3 bids,31
809,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,4 and more bids,14
810,2021-2022,Bodoland Territorial Council-WRD,Cancelled,Works,0 bids,2
811,2021-2022,Cooperation Department,AOC,Goods,0 bids,4
812,2021-2022,Cooperation Department,AOC,Goods,4 and more bids,1
813,2021-2022,Cooperation Department,AOC,Services,0 bids,1
814,2021-2022,Cooperation Department,Cancelled,Services,4 and more bids,1
815,2021-2022,Cooperation Department,Retender,Goods,1 bids,2
816,2021-2022,Department of Cultural Affairs,AOC,Works,0 bids,2
817,2021-2022,Department of Cultural Affairs,Financial Bid Opening,Goods,3 bids,2
818,2021-2022,Department of Handloom Textile and Sericulture,AOC,Goods,4 and more bids,1
819,2021-2022,Department of Handloom Textile and Sericulture,AOC,Works,3 bids,1
820,2021-2022,Department of Handloom Textile and Sericulture,Financial Evaluation,Goods,4 and more bids,1
821,2021-2022,Department of Higher Education,Technical Evaluation,Works,2 bids,1
822,2021-2022,Department of Housing and Urban Affairs,AOC,Works,0 bids,13
823,2021-2022,Department of Housing and Urban Affairs,AOC,Works,4 and more bids,1
824,2021-2022,Department of Housing and Urban Affairs,Cancelled,Works,0 bids,2
825,2021-2022,Department of Housing and Urban Affairs,Cancelled,Works,4 and more bids,1
826,2021-2022,Department of Labour and Welfare,AOC,Goods,4 and more bids,1
827,2021-2022,Department of Labour and Welfare,AOC,Services,3 bids,1
828,2021-2022,Department of Labour and Welfare,Cancelled,Goods,1 bids,2
829,2021-2022,Department of Labour and Welfare,Cancelled,Services,1 bids,1
830,2021-2022,Department of Science and Technology,AOC,Services,0 bids,2
831,2021-2022,Department of Tourism,AOC,Services,0 bids,2
832,2021-2022,Department of Tourism,AOC,Services,3 bids,1
833,2021-2022,Department of Tourism,Financial Evaluation,Services,3 bids,1
834,2021-2022,Department of Tourism,Technical Evaluation,Services,3 bids,1
835,2021-2022,Department of Tourism,To Be Opened,Services,0 bids,7
836,2021-2022,Department of Tourism,To Be Opened,Services,2 bids,2
837,2021-2022,Department of Tourism,To Be Opened,Services,3 bids,2
838,2021-2022,Department of Tourism,To Be Opened,Services,4 and more bids,1
839,2021-2022,Department of Water Resources,AOC,Services,4 and more bids,1
840,2021-2022,Department of Water Resources,AOC,Works,0 bids,22
841,2021-2022,Department of Water Resources,AOC,Works,1 bids,11
842,2021-2022,Department of Water Resources,AOC,Works,2 bids,24
843,2021-2022,Department of Water Resources,AOC,Works,3 bids,30
844,2021-2022,Department of Water Resources,AOC,Works,4 and more bids,68
845,2021-2022,Department of Water Resources,Cancelled,Goods,2 bids,1
846,2021-2022,Department of Water Resources,Cancelled,Services,0 bids,1
847,2021-2022,Department of Water Resources,Cancelled,Works,0 bids,41
848,2021-2022,Department of Water Resources,Cancelled,Works,1 bids,1
849,2021-2022,Department of Water Resources,Cancelled,Works,2 bids,2
850,2021-2022,Department of Water Resources,Cancelled,Works,3 bids,3
851,2021-2022,Department of Water Resources,Cancelled,Works,4 and more bids,9
852,2021-2022,Department of Water Resources,Financial Bid Opening,Works,3 bids,1
853,2021-2022,Department of Water Resources,Financial Evaluation,Works,0 bids,4
854,2021-2022,Department of Water Resources,Financial Evaluation,Works,4 and more bids,1
855,2021-2022,Department of Water Resources,Retender,Works,0 bids,10
856,2021-2022,Department of Water Resources,Retender,Works,1 bids,14
857,2021-2022,Department of Water Resources,Retender,Works,2 bids,5
858,2021-2022,Department of Water Resources,Retender,Works,3 bids,4
859,2021-2022,Department of Water Resources,Retender,Works,4 and more bids,3
860,2021-2022,Department of Water Resources,Technical Evaluation,Services,4 and more bids,1
861,2021-2022,Dibrugarh University,AOC,Goods,0 bids,2
862,2021-2022,Dibrugarh University,Cancelled,Goods,0 bids,1
863,2021-2022,Director- Fire and Emergency Services-Assam,AOC,Works,2 bids,8
864,2021-2022,Director- Fire and Emergency Services-Assam,AOC,Works,3 bids,5
865,2021-2022,Director- Fire and Emergency Services-Assam,AOC,Works,4 and more bids,2
866,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,0 bids,1
867,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,0 bids,1
868,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,3 bids,1
869,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,4 and more bids,2
870,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,3 bids,2
871,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,0 bids,2
872,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,0 bids,11
873,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,2 bids,1
874,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,4 and more bids,1
875,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,3 bids,1
876,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Goods,0 bids,1
877,2021-2022,Directorate of Horticulture Assam,Financial Evaluation,Goods,0 bids,1
878,2021-2022,Directorate of Horticulture Assam,Financial Evaluation,Goods,4 and more bids,2
879,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,3 bids,1
880,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Services,2 bids,1
881,2021-2022,Directorate of Sports and Youth Welfare - Assam,Cancelled,Goods,0 bids,1
882,2021-2022,Directorate of Sports and Youth Welfare - Assam,Cancelled,Goods,4 and more bids,1
883,2021-2022,Directorate of Sports and Youth Welfare - Assam,Retender,Goods,3 bids,1
884,2021-2022,Finance Department - World Bank Tenders,AOC,Goods,0 bids,2
885,2021-2022,Finance Department - World Bank Tenders,Financial Bid Opening,Services,4 and more bids,1
886,2021-2022,Food Civil Supplies and Consumer Affairs Department,AOC,Services,4 and more bids,1
887,2021-2022,Gauhati High Court - Guwahati,AOC,Goods,2 bids,1
888,2021-2022,Gauhati High Court - Guwahati,AOC,Goods,3 bids,1
889,2021-2022,Gauhati University,AOC,Works,3 bids,1
890,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,0 bids,2
891,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,2 bids,1
892,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,4 and more bids,1
893,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Services,0 bids,1
894,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Works,2 bids,1
895,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Works,4 and more bids,1
896,2021-2022,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,1 bids,1
897,2021-2022,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,2 bids,1
898,2021-2022,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,1 bids,1
899,2021-2022,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,2 bids,1
900,2021-2022,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,3 bids,2
901,2021-2022,Guwahati Metropolitan Development Authority,To Be Opened,Works,4 and more bids,1
902,2021-2022,Guwahati Municipal Corporation,Cancelled,Goods,4 and more bids,1
903,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,0 bids,19
904,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,1 bids,3
905,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,2 bids,2
906,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,3 bids,14
907,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,4 and more bids,13
908,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,0 bids,3
909,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,1 bids,6
910,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,2 bids,3
911,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,3 bids,2
912,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,4 and more bids,3
913,2021-2022,Guwahati Municipal Corporation,Financial Evaluation,Works,2 bids,13
914,2021-2022,Guwahati Municipal Corporation,Financial Evaluation,Works,3 bids,7
915,2021-2022,Guwahati Municipal Corporation,Financial Evaluation,Works,4 and more bids,52
916,2021-2022,Guwahati Municipal Corporation,Retender,Works,0 bids,6
917,2021-2022,Guwahati Municipal Corporation,Retender,Works,1 bids,6
918,2021-2022,Guwahati Municipal Corporation,Retender,Works,2 bids,5
919,2021-2022,Guwahati Municipal Corporation,Technical Bid Opening,Works,1 bids,1
920,2021-2022,Guwahati Municipal Corporation,Technical Bid Opening,Works,4 and more bids,1
921,2021-2022,Guwahati Municipal Corporation,To Be Opened,Goods,2 bids,1
922,2021-2022,Guwahati Municipal Corporation,To Be Opened,Works,0 bids,5
923,2021-2022,Guwahati Municipal Corporation,To Be Opened,Works,1 bids,1
924,2021-2022,Guwahati Smart City Ltd.,Cancelled,Works,2 bids,1
925,2021-2022,Health and Family Welfare Department,AOC,Goods,0 bids,9
926,2021-2022,Health and Family Welfare Department,AOC,Goods,3 bids,1
927,2021-2022,Health and Family Welfare Department,AOC,Goods,4 and more bids,4
928,2021-2022,Health and Family Welfare Department,AOC,Services,2 bids,1
929,2021-2022,Health and Family Welfare Department,AOC,Services,4 and more bids,2
930,2021-2022,Health and Family Welfare Department,Cancelled,Goods,0 bids,9
931,2021-2022,Health and Family Welfare Department,Cancelled,Goods,2 bids,2
932,2021-2022,Health and Family Welfare Department,Cancelled,Goods,3 bids,3
933,2021-2022,Health and Family Welfare Department,Cancelled,Goods,4 and more bids,3
934,2021-2022,Health and Family Welfare Department,Cancelled,Services,3 bids,1
935,2021-2022,Health and Family Welfare Department,Cancelled,Services,4 and more bids,2
936,2021-2022,Health and Family Welfare Department,Financial Evaluation,Goods,0 bids,2
937,2021-2022,Health and Family Welfare Department,Financial Evaluation,Goods,4 and more bids,1
938,2021-2022,Home B,AOC,Goods,0 bids,33
939,2021-2022,Home B,AOC,Goods,4 and more bids,1
940,2021-2022,Home B,Cancelled,Goods,0 bids,9
941,2021-2022,Home B,Cancelled,Goods,1 bids,2
942,2021-2022,Home B,Cancelled,Goods,3 bids,3
943,2021-2022,Home B,Cancelled,Goods,4 and more bids,17
944,2021-2022,Home B,Financial Evaluation,Goods,4 and more bids,2
945,2021-2022,Home B,Technical Bid Opening,Goods,1 bids,1
946,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,0 bids,2
947,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,3 bids,2
948,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,4 and more bids,4
949,2021-2022,Industries and Commerce Department,AOC,Goods,0 bids,9
950,2021-2022,Industries and Commerce Department,AOC,Goods,2 bids,2
951,2021-2022,Industries and Commerce Department,AOC,Goods,4 and more bids,2
952,2021-2022,Industries and Commerce Department,AOC,Services,0 bids,7
953,2021-2022,Industries and Commerce Department,AOC,Services,3 bids,2
954,2021-2022,Industries and Commerce Department,AOC,Services,4 and more bids,2
955,2021-2022,Industries and Commerce Department,AOC,Works,0 bids,28
956,2021-2022,Industries and Commerce Department,AOC,Works,2 bids,2
957,2021-2022,Industries and Commerce Department,AOC,Works,3 bids,6
958,2021-2022,Industries and Commerce Department,AOC,Works,4 and more bids,3
959,2021-2022,Industries and Commerce Department,Cancelled,Goods,0 bids,5
960,2021-2022,Industries and Commerce Department,Cancelled,Goods,4 and more bids,2
961,2021-2022,Industries and Commerce Department,Cancelled,Services,0 bids,2
962,2021-2022,Industries and Commerce Department,Cancelled,Works,0 bids,4
963,2021-2022,Industries and Commerce Department,Cancelled,Works,3 bids,1
964,2021-2022,Industries and Commerce Department,Cancelled,Works,4 and more bids,1
965,2021-2022,Industries and Commerce Department,Financial Bid Opening,Services,0 bids,1
966,2021-2022,Industries and Commerce Department,Retender,Services,1 bids,1
967,2021-2022,Industries and Commerce Department,Retender,Works,0 bids,1
968,2021-2022,Industries and Commerce Department,Retender,Works,1 bids,3
969,2021-2022,Industries and Commerce Department,Retender,Works,3 bids,1
970,2021-2022,Industries and Commerce Department,Retender,Works,4 and more bids,1
971,2021-2022,Industries and Commerce Department,Technical Evaluation,Goods,3 bids,1
972,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,0 bids,1
973,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,3 bids,1
974,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,4 and more bids,2
975,2021-2022,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,0 bids,1
976,2021-2022,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,4 and more bids,1
977,2021-2022,Information and Public Relations Department,AOC,Goods,0 bids,1
978,2021-2022,Information and Public Relations Department,AOC,Services,0 bids,1
979,2021-2022,Information and Public Relations Department,AOC,Services,4 and more bids,2
980,2021-2022,Information and Public Relations Department,Cancelled,Goods,3 bids,1
981,2021-2022,Information and Public Relations Department,Retender,Goods,2 bids,1
982,2021-2022,Irrigation Department,AOC,Goods,0 bids,2
983,2021-2022,Irrigation Department,AOC,Works,0 bids,1
984,2021-2022,Irrigation Department,AOC,Works,1 bids,6
985,2021-2022,Irrigation Department,AOC,Works,2 bids,15
986,2021-2022,Irrigation Department,AOC,Works,3 bids,4
987,2021-2022,Irrigation Department,AOC,Works,4 and more bids,7
988,2021-2022,Irrigation Department,Cancelled,Works,0 bids,5
989,2021-2022,Irrigation Department,Cancelled,Works,1 bids,1
990,2021-2022,Irrigation Department,Cancelled,Works,4 and more bids,1
991,2021-2022,Irrigation Department,Financial Bid Opening,Works,3 bids,2
992,2021-2022,Karbi Anglong Autonomous Council,AOC,Works,3 bids,17
993,2021-2022,Karbi Anglong Autonomous Council,Financial Evaluation,Works,2 bids,1
994,2021-2022,Karbi Anglong Autonomous Council,Retender,Works,3 bids,1
995,2021-2022,Karbi Anglong Autonomous Council,Technical Evaluation,Works,2 bids,1
996,2021-2022,Karbi Anglong Autonomous Council,Technical Evaluation,Works,3 bids,1
997,2021-2022,Karbi Anglong Autonomous Council,To Be Opened,Works,1 bids,1
998,2021-2022,National Health Mission,AOC,Goods,0 bids,1
999,2021-2022,National Health Mission,AOC,Goods,3 bids,1
1000,2021-2022,National Health Mission,AOC,Goods,4 and more bids,5
1001,2021-2022,National Health Mission,AOC,Services,4 and more bids,2
1002,2021-2022,National Health Mission,AOC,Works,0 bids,61
1003,2021-2022,National Health Mission,AOC,Works,2 bids,1
1004,2021-2022,National Health Mission,AOC,Works,3 bids,6
1005,2021-2022,National Health Mission,AOC,Works,4 and more bids,27
1006,2021-2022,National Health Mission,Cancelled,Goods,0 bids,1
1007,2021-2022,National Health Mission,Cancelled,Works,0 bids,106
1008,2021-2022,National Health Mission,Cancelled,Works,2 bids,1
1009,2021-2022,National Health Mission,Cancelled,Works,4 and more bids,20
1010,2021-2022,National Health Mission,Financial Bid Opening,Goods,3 bids,1
1011,2021-2022,National Health Mission,Financial Bid Opening,Goods,4 and more bids,2
1012,2021-2022,National Health Mission,Financial Bid Opening,Services,4 and more bids,1
1013,2021-2022,National Health Mission,Financial Bid Opening,Works,2 bids,5
1014,2021-2022,National Health Mission,Financial Bid Opening,Works,3 bids,1
1015,2021-2022,National Health Mission,Financial Bid Opening,Works,4 and more bids,7
1016,2021-2022,National Health Mission,Financial Evaluation,Works,4 and more bids,1
1017,2021-2022,National Health Mission,Retender,Goods,1 bids,1
1018,2021-2022,National Health Mission,Retender,Works,0 bids,2
1019,2021-2022,National Health Mission,Technical Bid Opening,Goods,4 and more bids,3
1020,2021-2022,National Health Mission,Technical Evaluation,Works,0 bids,3
1021,2021-2022,National Health Mission,Technical Evaluation,Works,2 bids,2
1022,2021-2022,National Health Mission,Technical Evaluation,Works,3 bids,7
1023,2021-2022,National Health Mission,Technical Evaluation,Works,4 and more bids,11
1024,2021-2022,National Health Mission,To Be Opened,Goods,1 bids,1
1025,2021-2022,National Health Mission,To Be Opened,Services,3 bids,1
1026,2021-2022,National Health Mission,To Be Opened,Services,4 and more bids,1
1027,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Goods,4 and more bids,1
1028,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Services,0 bids,3
1029,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Services,4 and more bids,2
1030,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Goods,0 bids,1
1031,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Services,4 and more bids,1
1032,2021-2022,Pollution Control Board,AOC,Works,3 bids,1
1033,2021-2022,Pollution Control Board,Cancelled,Goods,4 and more bids,1
1034,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,0 bids,1
1035,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,1 bids,1
1036,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,2 bids,6
1037,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,3 bids,7
1038,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,4 and more bids,12
1039,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,0 bids,13
1040,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,1 bids,10
1041,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,2 bids,11
1042,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,3 bids,4
1043,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,4 and more bids,8
1044,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,1 bids,1
1045,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,2 bids,2
1046,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,3 bids,1
1047,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,0 bids,2
1048,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,1 bids,3
1049,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,2 bids,1
1050,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,3 bids,3
1051,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,4 and more bids,1
1052,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,0 bids,1
1053,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,1 bids,4
1054,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,2 bids,3
1055,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,3 bids,2
1056,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,0 bids,1
1057,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,0 bids,1
1058,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,0 bids,2
1059,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,0 bids,6
1060,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,2 bids,3
1061,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,4 and more bids,4
1062,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,0 bids,1
1063,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,0 bids,3
1064,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,4 and more bids,1
1065,2021-2022,Principal Secretary- P and RD- Assam Secretariat,To Be Opened,Works,1 bids,2
1066,2021-2022,Principal Secretary-Department of Information Technology,AOC,Goods,0 bids,1
1067,2021-2022,Principal Secretary-Department of Information Technology,AOC,Services,0 bids,1
1068,2021-2022,Principal Secretary-Department of Information Technology,AOC,Services,4 and more bids,1
1069,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Goods,0 bids,1
1070,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Services,0 bids,2
1071,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Works,2 bids,1
1072,2021-2022,Principal Secretary-Department of Information Technology,Retender,Services,1 bids,1
1073,2021-2022,Principal Secretary-Department of Information Technology,Retender,Works,0 bids,1
1074,2021-2022,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,0 bids,1
1075,2021-2022,Principal Secretary-Department of Information Technology,To Be Opened,Services,0 bids,1
1076,2021-2022,Public Health Engineering Department,AOC,Goods,4 and more bids,15
1077,2021-2022,Public Health Engineering Department,AOC,Services,0 bids,1
1078,2021-2022,Public Health Engineering Department,AOC,Works,4 and more bids,14
1079,2021-2022,Public Health Engineering Department,Cancelled,Goods,0 bids,5
1080,2021-2022,Public Health Engineering Department,Cancelled,Services,0 bids,1
1081,2021-2022,Public Health Engineering Department,Cancelled,Works,0 bids,12
1082,2021-2022,Public Health Engineering Department,Financial Evaluation,Services,0 bids,1
1083,2021-2022,Public Health Engineering Department,Retender,Goods,3 bids,1
1084,2021-2022,Public Health Engineering Department,Retender,Goods,4 and more bids,3
1085,2021-2022,Public Works Building and NH Department,AOC,Works,0 bids,36
1086,2021-2022,Public Works Building and NH Department,AOC,Works,1 bids,3
1087,2021-2022,Public Works Building and NH Department,AOC,Works,2 bids,16
1088,2021-2022,Public Works Building and NH Department,AOC,Works,3 bids,15
1089,2021-2022,Public Works Building and NH Department,AOC,Works,4 and more bids,26
